iter	MultiClass
0	1.051630275
1	1.009511168
2	0.9683706819
3	0.9348656572
4	0.9058959333
5	0.8752652466
6	0.8462953757
7	0.8209738399
8	0.7977795144
9	0.7766404152
10	0.7563285212
11	0.7373651159
12	0.7200022991
13	0.7031479006
14	0.6883519515
15	0.6737483749
16	0.6609543277
17	0.6495587137
18	0.6384023698
19	0.6277997968
20	0.6180558559
21	0.6091116963
22	0.6005969433
23	0.5914110178
24	0.5830579047
25	0.5741732234
26	0.5670526818
27	0.5609996739
28	0.5545213749
29	0.547585608
30	0.5408475427
31	0.5356781856
32	0.5303757175
33	0.5255918917
34	0.520757536
35	0.516321553
36	0.5120881764
37	0.5076967096
38	0.5039128734
39	0.500299259
40	0.4971854484
41	0.4938679609
42	0.4911975693
43	0.4882642527
44	0.4850071664
45	0.4828035851
46	0.479894235
47	0.4774936743
48	0.4750116681
49	0.4726926885
50	0.4708567916
51	0.4688415181
52	0.4673476759
53	0.465290815
54	0.463269691
55	0.4615503039
56	0.4602336674
57	0.4586006866
58	0.457271203
59	0.4558610039
60	0.4541828681
61	0.4528859769
62	0.4510625489
63	0.44941942
64	0.4486512376
65	0.4476188372
66	0.4465908126
67	0.4457195956
68	0.4448053163
69	0.4440038548
70	0.4432118137
71	0.4420871067
72	0.4415544694
73	0.4407962318
74	0.4402026965
75	0.4392525949
76	0.4385637544
77	0.4375990291
78	0.4367351167
79	0.4360283893
80	0.4351679996
81	0.4345556053
82	0.4339953539
83	0.4333420732
84	0.4325425169
85	0.4321346317
86	0.4315526372
87	0.4309571089
88	0.4305335554
89	0.4300828239
90	0.429783298
91	0.4291684969
92	0.4289536937
93	0.4285696614
94	0.4277603268
95	0.4273554826
96	0.4269800681
97	0.4267629866
98	0.4262587863
99	0.4258946974
100	0.4257519173
101	0.4253553509
102	0.4250392344
103	0.4247578309
104	0.4246975026
105	0.4242031178
106	0.4238237222
107	0.4234884119
108	0.4232560622
109	0.4229757866
110	0.422951821
111	0.4226632819
112	0.4220195123
113	0.4213446644
114	0.4207254713
115	0.4205679074
116	0.4202744499
117	0.4200617214
118	0.4199341749
119	0.4199028301
120	0.4194083841
121	0.4193864272
122	0.4192243507
123	0.419214289
124	0.4185400331
125	0.4183435306
126	0.4178355452
127	0.4176048766
128	0.4170928381
129	0.416857342
130	0.4164098503
131	0.4162848748
132	0.4158471181
133	0.4154570684
134	0.415376137
135	0.4152340868
136	0.4148313772
137	0.4146770947
138	0.4144999025
139	0.4144438961
140	0.414331062
141	0.4141876295
142	0.4140974993
143	0.4138393666
144	0.4136308737
145	0.4135012001
146	0.4133403586
147	0.4129604263
148	0.41287238
149	0.4127151471
150	0.4126669725
151	0.4124361925
152	0.4124091578
153	0.4124050297
154	0.4121175837
155	0.4118566621
156	0.4117063208
157	0.411292127
158	0.4109011611
159	0.4107620901
160	0.4105544939
161	0.4103764499
162	0.4102438938
163	0.4101273783
164	0.410126629
165	0.4097027023
166	0.4092320321
167	0.4090117023
168	0.4089108496
169	0.4086089811
170	0.4083064202
171	0.4080997364
172	0.4078447023
173	0.407517272
174	0.4071298601
175	0.4068745933
176	0.4066868519
177	0.4063463946
178	0.4059829904
179	0.4057659602
180	0.4055677283
181	0.4054343167
182	0.4051848243
183	0.4051842874
184	0.4048891981
185	0.4048501716
186	0.4047307424
187	0.4046893939
188	0.4045204016
189	0.4041166519
190	0.4040810901
191	0.4038804823
192	0.4038799799
193	0.4035932333
194	0.4035287831
195	0.4032537079
196	0.4030979918
197	0.4029668106
198	0.4027054372
199	0.4023918949
200	0.4023777283
201	0.4019701383
202	0.4018555009
203	0.4016038514
204	0.4014090875
205	0.401204923
206	0.4008942607
207	0.4006773105
208	0.4005818829
209	0.4004692618
210	0.4003664027
211	0.4000270768
212	0.3998129645
213	0.3995341223
214	0.3992167975
215	0.3989110898
216	0.3988050248
217	0.3985915765
218	0.398302184
219	0.3979521779
220	0.3976439676
221	0.3973686932
222	0.3971509494
223	0.3969310613
224	0.3967037405
225	0.3962742487
226	0.3959985267
227	0.3954799753
228	0.3950168616
229	0.3947797743
230	0.394460877
231	0.3941527848
232	0.393844178
233	0.3934797175
234	0.3931935793
235	0.3928827639
236	0.3925178383
237	0.3922690364
238	0.3918294083
239	0.3915017845
240	0.39122078
241	0.3909443501
242	0.3905825488
243	0.3902337524
244	0.3897778733
245	0.3894925408
246	0.3890310622
247	0.3888509626
248	0.3885091735
249	0.3880810312
250	0.3879200837
251	0.3876330019
252	0.3873014511
253	0.3869841456
254	0.3866898764
255	0.3863308983
256	0.3858969402
257	0.3856394338
258	0.3853928491
259	0.3850028688
260	0.3847068865
261	0.3842685582
262	0.3839991115
263	0.3837464969
264	0.3835036812
265	0.3832872823
266	0.3830014598
267	0.3826586689
268	0.3822409723
269	0.3819860262
