iter	Passed	Remaining
0	184	336738
1	231	211077
2	270	164196
3	282	128829
4	345	125781
5	396	120302
6	452	117392
7	494	112370
8	548	110657
9	608	110383
10	666	109918
11	717	108405
12	747	104127
13	806	104304
14	832	100409
15	891	100764
16	949	100941
17	967	97083
18	1019	96866
19	1080	97531
20	1103	94812
21	1167	95661
22	1220	95596
23	1268	95203
24	1306	94095
25	1344	93026
26	1396	92997
27	1413	90701
28	1438	89069
29	1506	90142
30	1558	90207
31	1577	88398
32	1641	89162
33	1685	88762
34	1717	87861
35	1777	88326
36	1844	89134
37	1881	88461
38	1938	88777
39	1983	88503
40	2030	88363
41	2067	87765
42	2110	87460
43	2172	87925
44	2234	88372
45	2287	88469
46	2354	89057
47	2393	88604
48	2446	88674
49	2503	88869
50	2560	89052
51	2619	89331
52	2665	89127
53	2724	89343
54	2770	89173
55	2817	88998
56	2858	88659
57	2891	88084
58	2915	87262
59	2967	87294
60	3028	87579
61	3091	87906
62	3147	88031
63	3200	88064
64	3254	88126
65	3308	88185
66	3341	87683
67	3390	87593
68	3441	87575
69	3481	87293
70	3538	87413
71	3595	87530
72	3648	87558
73	3671	86885
74	3694	86193
75	3725	85738
76	3776	85741
77	3812	85387
78	3852	85154
79	3899	85066
80	3937	84785
81	3986	84728
82	4036	84720
83	4084	84650
84	4132	84598
85	4185	84635
86	4238	84666
87	4278	84443
88	4326	84384
89	4378	84399
90	4418	84186
91	4447	83780
92	4461	83091
93	4510	83058
94	4556	82971
95	4608	83006
96	4627	82438
97	4661	82140
98	4709	82111
99	4758	82078
100	4782	81636
101	4835	81681
102	4885	81671
103	4940	81755
104	4957	81205
105	5004	81158
106	5056	81186
107	5114	81305
108	5149	81071
109	5199	81068
110	5207	80405
111	5235	80067
112	5286	80093
113	5337	80116
114	5359	79687
115	5389	79403
116	5439	79403
117	5466	79075
118	5509	78981
119	5521	78452
120	5569	78429
121	5583	77941
122	5632	77934
123	5641	77387
124	5690	77391
125	5717	77093
126	5736	76703
127	5757	76335
128	5817	76489
129	5864	76468
130	5917	76519
131	5937	76150
132	5968	75929
133	5986	75544
134	6030	75495
135	6062	75294
136	6113	75324
137	6158	75283
138	6203	75241
139	6219	74857
140	6237	74499
141	6282	74461
142	6330	74455
143	6374	74408
144	6424	74434
145	6439	74050
146	6485	74030
147	6533	74026
148	6579	74005
149	6605	73761
150	6623	73426
151	6658	73287
152	6672	72913
153	6683	72522
154	6727	72480
155	6772	72454
156	6785	72085
157	6804	71796
158	6852	71803
159	6885	71654
160	6928	71612
161	6966	71512
162	7015	71536
163	7031	71214
164	7038	70811
165	7081	70773
166	7128	70767
167	7174	70763
168	7189	70452
169	7235	70437
170	7274	70365
171	7321	70363
172	7369	70368
173	7416	70370
174	7463	70367
175	7493	70213
176	7536	70171
177	7580	70144
178	7630	70169
179	7681	70197
180	7721	70134
181	7754	70003
182	7809	70074
183	7818	69732
184	7852	69613
185	7872	69373
186	7917	69351
187	7938	69122
188	7988	69145
189	8042	69206
190	8097	69276
191	8151	69332
192	8165	69045
193	8216	69076
194	8236	68847
195	8285	68866
196	8317	68735
197	8342	68551
198	8392	68571
199	8448	68642
200	8467	68414
201	8484	68172
202	8513	68022
203	8543	67889
204	8590	67883
205	8641	67914
206	8715	68122
207	8774	68213
208	8790	67967
209	8802	67694
210	8814	67426
211	8864	67446
